avaliacao;user;entidade_id;status
1;1;1;V
1;1;3;V
1;1;28;V
1;1;32;V
1;1;58;V
1;1;60;V
1;1;73;V
1;1;110;V
1;1;127;V
1;1;154;V
1;1;161;V
1;1;183;V
1;1;192;V
1;1;200;V
1;1;205;V
1;1;220;V
1;1;246;V
1;1;249;V
1;1;271;V
1;1;273;V
1;1;284;V
1;1;307;V
1;1;309;V
1;1;310;V
1;1;319;V
1;1;376;V
1;1;402;V
1;1;431;V
1;1;442;V
1;1;464;V
1;1;549;V
1;1;574;V
1;1;673;V
1;1;684;V
1;1;710;V
1;1;719;V
1;1;759;V
1;1;780;V
1;1;800;V
1;1;803;V
1;1;807;V
1;1;822;V
1;1;839;V
1;1;841;V
1;1;848;V
1;1;864;V
1;1;879;V
1;1;906;V
1;1;907;V
1;1;939;V
1;1;941;V
1;1;953;V
1;1;956;V
1;1;976;V
1;1;986;V
1;1;996;V
1;1;1134;V
1;1;1173;V
1;1;1180;V
1;1;1196;V
1;1;1201;V
1;1;1225;V
1;1;1238;V
1;1;1249;V
1;1;1273;V
1;1;1292;V
1;1;1306;V
1;1;1415;V
1;1;1424;V
1;1;1425;V
1;1;1460;V
1;1;1462;V
1;1;1467;V
1;1;1470;V
1;1;1496;V
1;1;1526;V
1;1;1528;V
1;1;1534;V
1;1;1564;V
1;1;1575;V
1;1;1629;V
1;1;1641;V
1;1;1642;V
1;1;1721;V
1;1;1737;V
1;1;1753;V
1;1;1791;V
1;1;1801;V
1;1;1820;V
1;1;1826;V
1;1;1879;V
1;1;1922;V
1;1;1923;V
1;1;1924;V
1;1;1926;V
1;1;1928;V
1;1;1930;V
1;1;1932;V
1;1;1940;V
1;1;1995;V
1;1;2008;V
1;1;2015;V
1;1;2032;V
1;1;2052;V
1;1;2059;V
1;1;2061;V
1;1;2073;V
1;1;2184;V
1;1;2198;V
1;1;2211;V
1;1;2217;V
1;1;2234;V
1;1;2241;V
1;1;2279;V
1;1;2288;V
1;1;2311;V
1;1;2312;V
1;1;2324;V
1;1;2355;V
1;1;2380;V
1;1;2398;V
1;1;2409;V
1;1;2422;V
1;1;2442;V
1;1;2457;V
1;1;2509;V
1;1;2532;V
1;1;2549;V
1;1;2559;V
1;1;2577;V
1;1;2616;V
1;1;2660;V
1;1;2707;V
1;1;2765;V
1;1;2822;V
1;1;2863;V
1;1;2876;V
1;1;2924;V
1;1;2984;V
1;1;3020;V
1;1;3028;V
1;1;3063;V
1;1;3065;V
1;1;3070;V
1;1;3111;V
1;1;3133;V
1;1;3164;V
1;1;3167;V
1;1;3168;V
1;1;3179;V
1;1;3182;V
1;1;3195;V
1;1;3199;V
1;1;3212;V
1;1;3230;V
1;1;3255;V
1;1;3258;V
1;1;3269;V
1;1;3290;V
1;1;3294;V
1;1;3311;V
1;1;3324;V
1;1;3331;V
1;1;3369;V
1;1;3387;V
1;1;3396;V
1;1;3399;V
1;1;3415;V
1;1;3460;V
1;1;3490;V
1;1;3493;V
1;1;3503;V
1;1;3519;V
1;1;3542;V
1;1;3546;V
1;1;3547;V
1;1;3554;V
1;1;3591;V
1;1;3607;V
1;1;3755;V
1;1;3763;V
1;1;3783;V
1;1;3826;V
1;1;3841;V
1;1;3856;V
1;1;3857;V
1;1;3873;V
1;1;3913;V
1;1;3934;V
1;1;3939;V
1;1;3943;V
1;1;3981;V
1;1;4044;V
1;1;4084;V
1;1;4156;V
1;1;4157;V
1;1;4240;V
1;1;4245;V
1;1;4287;V
1;1;4338;V
1;1;4348;V
1;1;4373;V
1;1;4388;V
1;1;4400;V
1;1;4406;V
1;1;4489;V
1;1;4492;V
1;1;4500;V
1;1;4512;V
1;1;4519;V
1;1;4538;V
1;1;4542;V
1;1;4552;V
1;1;4615;V
1;1;4643;V
1;1;4691;V
1;1;4693;V
1;1;4810;V
1;1;4816;V
1;1;4838;V
1;1;4845;V
1;1;4851;V
1;1;4906;V
1;1;4963;V
1;1;5012;V
1;1;5046;V
1;1;5057;V
1;1;5065;V
1;1;5167;V
1;1;5210;V
1;1;5213;V
1;1;5292;V
1;1;5298;V
1;1;5305;V
1;1;5339;V
1;1;5340;V
1;1;5364;V
1;1;5393;V
1;1;5394;V
1;1;5411;V
1;1;5427;V
1;1;5441;V
1;1;5488;V
1;1;5492;V
1;1;5504;V
1;1;5513;V
